# 版本：v1.6.0-pre
# 程序员词库
accept 允许
access 访问
algorithm 算法
argument 实参
artificial 人工
attribute 属性
binary 二进制
button 按钮
boolean 布尔
compiler 编译器
constant 常量
continue 继续
control 控制
database 数据库
data-structure 数据结构
declare 声明
default 默认
definition 定义
directory 目录
double 双精度浮点数
exception 异常
expression 表达式
function 函数
generate 生成
greater 更大的
hardware 硬件
hard-disk 硬盘
header 头文件
include 包含
iterator 迭代器
length 长度
library 库
machine 机器
matching 匹配
memory 内存
message 消息
namespace 命名空间
network 网络
object 对象
operation 运算
precision 精度
prefix 前缀
priority-queue 优先队列
programmer 程序员
project 项目
protocol 协议
random 随机的
read-only 只读
return 返回
search 搜索
schedule 调度
software 软件
sorting 排序
standard 标准
stream 流
string 字符串
switch 开关
syntax 语法
system 系统
template 模板
vector 向量
window 窗口
