abandon 放弃
absolutely 绝对地	  
accept 接受	  
acceptable 可接受的	  
accident 事故	  
accommodation 住宿	  
accompany 陪同	  
account 账户	  
accurate 准确的	  
achieve 实现	  
actor 演员	  
actress 女演员	  
action 行动	  
actually 实际上	  
addition 增加	  
address 地址	  
admission 允许进入	  
adult 成年人	  
advanced 高级的	  
advantage 优势	  
adventure 冒险	  
advice 建议	  
affect 影响	  
afford 负担得起	  
afraid 害怕的	  
agency 机构	  
agent 代理人	  
air-conditioner 空调	  
airline 航空公司	  
airport 机场	  
almost 几乎	  
although 尽管	  
amaze 使惊奇	  
amazing 令人惊奇的	  
ambulance 救护车	  
among 在...之中  
amount 数量	  
amusing 有趣的	  
ancient 古老的	  
animation 动画	  
announce 宣布	  
announcement 公告	  
backache 背痛	  
background 背景	  
backpack 背包	  
baggage 行李	  
balance 平衡	  
bandage 绷带	  
banking 银行业	  
basketball 篮球	  
battle 战斗	  
beach 海滩	  
beard 胡须	  
beautiful 美丽的	  
because 因为	  
become 变成	  
begin 开始	  
behavior 行为	  
believe 相信	  
belong 属于	  
benefit 利益	  
besides 除此之外	  
bestseller 畅销书	  
better 更好的	  
bicycle 自行车	  
biology 生物	  
biscuit 饼干	  
block 街区	  
board 板	  
bookcase 书架	  
booking 预订	  
bookshelf 书架	  
bookshop 书店	  
border 边界	  
bored 无聊的	  
boring 令人厌倦的	  
borrow 借	  
bottle 瓶子	  
brief 简短的	  
brightness 明亮	  
brochure 小册子	  
broken 破碎的
calendar 日历	  
camera 照相机	  
cancel 取消	  
candidate 候选人	  
capital 首都	  
carpet 地毯	  
carry 携带	  
catch 抓住	  
cause 原因	  
ceiling 天花板	  
celebrate 庆祝	  
cellar 地窖	  
central 中央的	  
century 世纪	  
certain 确定的	  
challenge 挑战	  
chance 机会	  
change 改变	  
channel 频道	  
character 角色	  
charge 充电	  
cheap 便宜的	  
cheerful 愉快的	  
chemistry 化学	  
chess 象棋	  
chief 主要的	  
choice 选择	  
church 教堂	  
circle 圆	    
citizen 公民	  
city 城市	  
class 班级	  
clean 干净的	  
climate 气候	  
clinic 诊所	  
clothes 衣服	  
cloudy 多云的	  
coach 教练	  
coast 海岸	  
coffee 咖啡	  
college 大学
damage 损害	  
dance 跳舞	  
danger 危险	  
dangerous 危险的	  
date 日期	  
daughter 女儿	  
day 天	  
deal 交易	  
death 死亡	  
debt 债务	  
decision 决定	  
declare 宣布	  
decorate 装饰	  
decrease 减少	  
degree 学位	  
delay 延迟	  
delighted 高兴的	  
demand 需求	  
dentist 牙医	  
department 部门	  
depend 依靠	  
describe 描述	  
desert 沙漠	  
design 设计	  
detail 细节	  
detective 侦探	  
develop 发展	  
difference 差异	  
digital 数字的	  
dinner 晚餐	  
direction 方向	  
dirty 脏的	  
district 区域	  
disturb 打扰
each 每个	  
eager 渴望的	  
earn 赚取	  
earth 地球	  
ease 容易	  
east 东方	  
eastern 东方的	  
easy 容易的	  
eat 吃	  
economy 经济	  
edge 边缘	  
educate 教育	  
education 教育	  
effect 影响	  
effort 努力	  
electric 电的	  
electricity 电	  
electronic 电子的	  
elderly 年长的	  
election 选举	  
electrician 电工	  
elementary 初级的	  
elephant 大象	  
else 其他的	  
email 电子邮件	  
emergency 紧急事件	  
employ 雇佣	  
employee 员工	  
employer 雇主	  
encourage 鼓励	  
end 结束	  
energy 能量	  
enjoy 享受	  
entertainment 娱乐	  
entry 入口	  
environment 环境
face 面对	  
facility 设施	  
fact 事实	  
factory 工厂	  
failure 失败	  
fair 公平的	  
fairly 公平地	  
fall 落下	  
family 家庭	  
famous 著名的	  
fancy 幻想的	  
fantastic 极好的	  
farm 农场	  
farmer 农民	  
fashion 时尚	  
fashionable 时尚的	  
fear 害怕	  
fearful 害怕的	  
feeling 感觉	  
female 女性的	  
fetch 取来	  
fever 发烧	  
fiction 小说	  
field 田野	  
fight 打架	  
figure 数字	  
final 最后的	  
finally 最后	  
finance 金融	  
finger 手指	  
finish 完成	  
firework 烟火	  
firmly 坚定地	  
first 第一	  
fish 鱼	  
fisherman 渔夫	  
fitness 健康	  
floor 地板	  
flower 花	  
flyer 传单	  
focus 集中
gallery 画廊  
garbage 垃圾  
garden 花园  
gas 气体  
general 通常的  
generation 一代  
generous 大方的  
gentle 温柔的  
geography 地理  
German 德国的  
gift 礼物  
glass 玻璃  
glassful 一杯的  
glove 手套  
gloved 戴手套的  
goal 目标  
golden 金色的  
goodbye 再见  
government 政府  
grammar 语法  
guitar 吉他  
gymnast 体操运动员  
gymnastics 体操  
handbag 手提包  
handsome 英俊的  
happen 发生  
happy 快乐的  
harbor 港口  
hardworking 勤奋的  
headache 头痛  
headline 新闻标题  
health 健康  
healthy 健康的  
heart 心  
heater 加热器  
heating 加热  
hello 嗨  
helicopter 直升机  
hello 打招呼  
help 帮助  
helpful 有帮助的  
heroine 女英雄  
hidden 隐藏的  
high-speed 高速的  
history 历史  
hobby 爱好  
hockey 曲棍球  
holiday 假日  
homework 家庭作业  
honest 诚实的  
honestly 诚实地  
hope 希望  
hopeful 有希望的  
hopefully 希望地  
horror 恐怖  
horrible 可怕的  
hostel 旅馆  
hotel 宾馆  
housewife 家庭主妇  
housework 家务  
however 然而  
hugely 极大地  
human 人类  
humane 人道的  
humanity 人性  
hunger 饥饿  
hunter 猎人  
hurry 匆忙  
identify 确认  
identity 身份  
illness 疾病  
image 图像  
imagine 想象  
imagination 想象力  
imagine 想象  
imaginable 可想象的  
imaginative 富有想象力的  
immediate 立即的  
immediately 立即地  
immigration 移民  
import 进口  
impossible 不可能的  
impatient 不耐烦的  
inch 英寸  
increase 增加  
individual 个人的  
industry 工业  
insist 坚持  
instruction 指导  
insurance 保险  
intent 意图  
intention 打算  
interesting 有趣的  
internationally 国际地  
internet 互联网  
interview 面试  
into 进入  
introduce 介绍  
introduction 介绍  
invitation 邀请  
iron 铁  
island 岛屿  
Jew 犹太人  
Jewish 犹太人的  
journey 旅程  
judge 法官  
jump 跳跃  
junior 年轻的  
just 仅仅  
key 关键  
keyboard 键盘  
kick 踢  
kid 孩子  
kill 杀死  
kind 善良的  
kindergarten 幼儿园  
king 国王  
kiss 亲吻  
kitchen 厨房  
kite 风筝  
knee 膝盖  
knock 敲  
knowledge 知识  
label 标签  
lady 女士  
lake 湖  
land 陆地  
language 语言  
large 大的  
last 最后的  
late 迟的  
later 后来  
laugh 笑  
laughter 笑声  
law 法律  
lawyer 律师  
lazy 懒惰的  
lead 领导  
leader 领导者  
leaf 叶子  
learn 学习  
least 最少的  
leather 皮革  
leave 离开  
lecture 讲座  
left 左边的  
leg 腿  
legal 合法的  
legend 传奇  
lemon 柠檬  
less 更少的  
lesson 教训  
let 让  
letter 信  
level 水平  
library 图书馆  
lick 舔  
life 生活  
lift 电梯  
light 轻的  
like 喜欢  
likely 可能的  
line 线  
link 联系  
lion 狮子  
lip 嘴唇  
liquid 液体  
list 列表  
listen 听  
litter 垃圾  
little 小的  
live 居住  
lively 活泼的  
living 居住的  
load 装载  
loan 贷款  
local 当地的  
lock 锁  
lonely 孤独的  
long 长的  
look 看  
lose 丢失  
loss 损失  
lot 很多  
loud 大声的  
love 爱  
lovely 可爱的  
luck 运气  
lucky 幸运的  
lunch 午餐  
lung 肺  
machine 机器  
mail 邮件  
main 主要的  
major 主要的  
majority 大多数  
make 制作  
manager 经理  
mankind 人类  
manner 方式  
many 很多的  
map 地图  
mark 标记  
market 市场  
marriage 婚姻  
marry 结婚  
match 比赛  
material 材料  
matter 事情  
math 数学  
matter 物质  
mature 成熟的  
may 可能  
maybe 也许  
meal 一餐  
mean 意味  
